fold,method,params,sample_accuracy,sample_count,sample_macro_f1,sample_weighted_f1,seconds,test_subjects,train_subjects,trial_accuracy,trial_count,trial_macro_f1,trial_weighted_f1,val_subjects
loso_test_p1_val_p2,stats_svm,0,0.47378234398782343,26280,0.471257154187062,0.47125715418706204,220.32,p1,"p3,p4,p5,p6,p7",0.5333333333333333,30,0.5195238095238095,0.5195238095238096,p2
loso_test_p1_val_p2,stats_rf,0,0.4270928462709285,26280,0.3655112065310492,0.3655112065310492,210.45,p1,"p3,p4,p5,p6,p7",0.4,30,0.3017532467532468,0.3017532467532468,p2
loso_test_p1_val_p2,stats_knn,0,0.4235540334855403,26280,0.3571162801732971,0.35711628017329716,197.14,p1,"p3,p4,p5,p6,p7",0.43333333333333335,30,0.3383333333333333,0.3383333333333333,p2
loso_test_p1_val_p2,pointnet_gru,292875,0.505593607305936,26280,0.42405019052239634,0.4240501905223963,1602.33,p1,"p3,p4,p5,p6,p7",0.5666666666666667,30,0.4609523809523809,0.46095238095238095,p2
loso_test_p1_val_p2,pointnet_tcn,120075,0.5642313546423136,26280,0.5064937832317961,0.5064937832317961,1600.06,p1,"p3,p4,p5,p6,p7",0.5666666666666667,30,0.49023809523809525,0.4902380952380952,p2
loso_test_p1_val_p2,robhar_like,209963,0.4888888888888889,26280,0.4170579514378897,0.4170579514378898,1618.45,p1,"p3,p4,p5,p6,p7",0.5333333333333333,30,0.45901098901098897,0.459010989010989,p2
loso_test_p1_val_p2,pct_gru,533003,0.5001902587519026,26280,0.44217359207395646,0.4421735920739564,3091.72,p1,"p3,p4,p5,p6,p7",0.5666666666666667,30,0.49071428571428577,0.4907142857142857,p2
loso_test_p1_val_p2,dgcnn_gru,301067,0.5146879756468797,26280,0.436599621596765,0.43659962159676496,5089.65,p1,"p3,p4,p5,p6,p7",0.5,30,0.41883116883116883,0.41883116883116883,p2
loso_test_p1_val_p2,radar_stnet,813947,0.6359969558599695,26280,0.5761294878378462,0.5761294878378462,2297.38,p1,"p3,p4,p5,p6,p7",0.6666666666666666,30,0.5654761904761905,0.5654761904761905,p2
loso_test_p2_val_p3,stats_svm,0,0.4917427701674277,26280,0.4531966856822656,0.45319668568226557,223.46,p2,"p1,p4,p5,p6,p7",0.5666666666666667,30,0.5169264069264069,0.5169264069264069,p3
loso_test_p2_val_p3,stats_rf,0,0.5722983257229832,26280,0.5151939088928412,0.5151939088928413,211.4,p2,"p1,p4,p5,p6,p7",0.6,30,0.5166666666666666,0.5166666666666667,p3
loso_test_p2_val_p3,stats_knn,0,0.47420091324200914,26280,0.45644947058481755,0.45644947058481755,223.17,p2,"p1,p4,p5,p6,p7",0.6333333333333333,30,0.5726406926406927,0.5726406926406926,p3
