auc,degradation,fold,method,test_subjects
0.39073163254719756,point_missing,loso_test_p1_val_p2,pointnet_gru,p1
0.44844175922867685,coordinate_noise,loso_test_p1_val_p2,pointnet_gru,p1
0.062219045820754215,strong_synthetic_clutter,loso_test_p1_val_p2,pointnet_gru,p1
0.20552423555442947,structured_realistic_clutter,loso_test_p1_val_p2,pointnet_gru,p1
0.4422003958884394,point_missing,loso_test_p1_val_p2,pointnet_tcn,p1
0.5457045731815083,coordinate_noise,loso_test_p1_val_p2,pointnet_tcn,p1
0.06844547034574197,strong_synthetic_clutter,loso_test_p1_val_p2,pointnet_tcn,p1
0.20820367254436167,structured_realistic_clutter,loso_test_p1_val_p2,pointnet_tcn,p1
0.37765639185768046,point_missing,loso_test_p1_val_p2,robhar_like,p1
0.4472257550323225,coordinate_noise,loso_test_p1_val_p2,robhar_like,p1
0.05750198374252566,strong_synthetic_clutter,loso_test_p1_val_p2,robhar_like,p1
0.15784107057602703,structured_realistic_clutter,loso_test_p1_val_p2,robhar_like,p1
0.42464872333889836,point_missing,loso_test_p1_val_p2,pct_gru,p1
0.4541161550991933,coordinate_noise,loso_test_p1_val_p2,pct_gru,p1
0.05543817583458675,strong_synthetic_clutter,loso_test_p1_val_p2,pct_gru,p1
0.25340735094529526,structured_realistic_clutter,loso_test_p1_val_p2,pct_gru,p1
0.3828820276513298,point_missing,loso_test_p1_val_p2,dgcnn_gru,p1
0.42649968898833546,coordinate_noise,loso_test_p1_val_p2,dgcnn_gru,p1
0.049461662368861285,strong_synthetic_clutter,loso_test_p1_val_p2,dgcnn_gru,p1
0.15698273583260838,structured_realistic_clutter,loso_test_p1_val_p2,dgcnn_gru,p1
0.5390432867029284,point_missing,loso_test_p1_val_p2,radar_stnet,p1
0.5935238286978725,coordinate_noise,loso_test_p1_val_p2,radar_stnet,p1
0.06035178802801043,strong_synthetic_clutter,loso_test_p1_val_p2,radar_stnet,p1
0.2611577041905377,structured_realistic_clutter,loso_test_p1_val_p2,radar_stnet,p1
0.7024309068928967,point_missing,loso_test_p2_val_p3,pointnet_gru,p2
0.7316149150408625,coordinate_noise,loso_test_p2_val_p3,pointnet_gru,p2
0.06484251193746035,strong_synthetic_clutter,loso_test_p2_val_p3,pointnet_gru,p2
0.20939758878019846,structured_realistic_clutter,loso_test_p2_val_p3,pointnet_gru,p2
0.7890134710974267,point_missing,loso_test_p2_val_p3,pointnet_tcn,p2
0.805670487939281,coordinate_noise,loso_test_p2_val_p3,pointnet_tcn,p2
