degradation,fold,level,method,runs,sample_accuracy_mean,sample_accuracy_std,sample_macro_f1_mean,sample_macro_f1_std,test_subjects,trial_accuracy_mean,trial_accuracy_std,trial_macro_f1_mean,trial_macro_f1_std
point_missing,loso_test_p1_val_p2,0.0,pointnet_gru,1,0.505593607305936,0.0,0.42405019052239634,0.0,p1,0.5666666666666667,0.0,0.4609523809523809,0.0
point_missing,loso_test_p1_val_p2,0.1,pointnet_gru,5,0.4991704718417047,0.0003692392532939968,0.4175223804546405,0.00046258427065740864,p1,0.5666666666666667,0.0,0.4609523809523809,0.0
point_missing,loso_test_p1_val_p2,0.2,pointnet_gru,5,0.4925266362252664,0.0005585188168008815,0.409931077342555,0.0007532549904121069,p1,0.5599999999999999,0.01333333333333333,0.457047619047619,0.0078095238095237775
point_missing,loso_test_p1_val_p2,0.3,pointnet_gru,5,0.4848401826484018,0.0009041915823609842,0.40121709447159803,0.0010036488318020246,p1,0.5333333333333333,0.0,0.44142857142857145,0.0
point_missing,loso_test_p1_val_p2,0.4,pointnet_gru,5,0.47551750380517505,0.0008191650163806483,0.39099332248280516,0.0008598049838094722,p1,0.5333333333333333,0.0,0.4378571428571429,0.0
point_missing,loso_test_p1_val_p2,0.5,pointnet_gru,5,0.4636377473363774,0.000438900178243415,0.37810325109894044,0.0005727353467726241,p1,0.5066666666666666,0.01333333333333333,0.41590476190476194,0.010985870125011864
point_missing,loso_test_p1_val_p2,0.6,pointnet_gru,5,0.4461415525114155,0.0006374548429641363,0.35958802721935634,0.0009507559915247813,p1,0.5,0.0,0.4095238095238095,0.0
point_missing,loso_test_p1_val_p2,0.7,pointnet_gru,5,0.41965753424657537,0.0008173955301124745,0.331482358998578,0.0008871069691299166,p1,0.4333333333333334,5.551115123125783e-17,0.3413095238095238,0.0016666666666666607
coordinate_noise,loso_test_p1_val_p2,0.0,pointnet_gru,1,0.505593607305936,0.0,0.42405019052239634,0.0,p1,0.5666666666666667,0.0,0.4609523809523809,0.0
coordinate_noise,loso_test_p1_val_p2,0.01,pointnet_gru,5,0.5064307458143075,0.00028168577661069133,0.425111486620399,0.0003158563862625198,p1,0.5666666666666667,0.0,0.4609523809523809,0.0
coordinate_noise,loso_test_p1_val_p2,0.02,pointnet_gru,5,0.5090258751902588,0.0004904987228104294,0.4283204006254735,0.0005324340711527775,p1,0.5666666666666667,0.0,0.4609523809523809,0.0
coordinate_noise,loso_test_p1_val_p2,0.05,pointnet_gru,5,0.5220015220700153,0.0005911630589326649,0.4460572133431028,0.0006401615448671506,p1,0.5733333333333333,0.01333333333333333,0.4746593406593407,0.023788126761937534
coordinate_noise,loso_test_p1_val_p2,0.08,pointnet_gru,5,0.5382267884322679,0.0006397222430340007,0.46842208660593493,0.0008059471742304133,p1,0.6,0.0,0.5218681318681319,0.0
coordinate_noise,loso_test_p1_val_p2,0.1,pointnet_gru,5,0.5489117199391172,0.0005485790347318343,0.48141335261007895,0.0005445926869527928,p1,0.6266666666666667,0.01333333333333333,0.5489450549450549,0.013538461538461544
strong_synthetic_clutter,loso_test_p1_val_p2,0.0,pointnet_gru,1,0.505593607305936,0.0,0.42405019052239634,0.0,p1,0.5666666666666667,0.0,0.4609523809523809,0.0
strong_synthetic_clutter,loso_test_p1_val_p2,0.1,pointnet_gru,5,0.1880365296803653,0.00038324743719982373,0.0881858868779096,0.0005107520719622152,p1,0.2,0.0,0.07854545454545454,0.0
strong_synthetic_clutter,loso_test_p1_val_p2,0.2,pointnet_gru,5,0.13819634703196348,0.0003268022915309599,0.04852954943543101,0.0002246810700050141,p1,0.1,0.0,0.02142857142857143,0.0
strong_synthetic_clutter,loso_test_p1_val_p2,0.4,pointnet_gru,5,0.11038812785388127,0.0002927760131152414,0.02936954582097696,0.0002313686642569852,p1,0.1,0.0,0.020689655172413793,0.0
strong_synthetic_clutter,loso_test_p1_val_p2,0.6,pointnet_gru,5,0.10222222222222224,0.00020221202824332273,0.02258389457908773,0.00017546304536774856,p1,0.1,0.0,0.02,0.0
strong_synthetic_clutter,loso_test_p1_val_p2,0.8,pointnet_gru,5,0.10041856925418569,4.813208006344082e-05,0.020840179473650026,4.419072661909223e-05,p1,0.1,0.0,0.02,0.0
structured_realistic_clutter,loso_test_p1_val_p2,0.0,pointnet_gru,1,0.505593607305936,0.0,0.42405019052239634,0.0,p1,0.5666666666666667,0.0,0.4609523809523809,0.0
structured_realistic_clutter,loso_test_p1_val_p2,0.02,pointnet_gru,5,0.4950913242009133,0.001228782875564965,0.4408181724135865,0.0015285546773862507,p1,0.6,0.0,0.5218681318681319,0.0
structured_realistic_clutter,loso_test_p1_val_p2,0.05,pointnet_gru,5,0.42918569254185696,0.008657320972182882,0.35705691164097864,0.006891701807279106,p1,0.48,0.01632993161855452,0.38509923409923413,0.011680998648606479
structured_realistic_clutter,loso_test_p1_val_p2,0.1,pointnet_gru,5,0.279923896499239,0.039910119765779864,0.19880659116792868,0.03285267339308078,p1,0.32666666666666666,0.04898979485566356,0.23430147630147635,0.04391381845772093
