variant,setting,class_name,precision,recall,f1,support
full,time_shuffle,box,0.9490790899241603,1.0,0.9738743746525848,2628
full,time_shuffle,fall,1.0,1.0,1.0,2628
full,time_shuffle,jump,0.661745320326918,0.9550989345509894,0.7818096869646473,2628
full,time_shuffle,left_forerake,1.0,0.8329528158295282,0.9088644384471662,2628
full,time_shuffle,open_arms,0.9980828220858896,0.9904870624048706,0.9942704354469061,2628
full,time_shuffle,right_forerake,0.999559277214632,0.863013698630137,0.9262813967735348,2628
full,time_shuffle,sit,0.7886533665835411,0.9627092846270928,0.8670322138450994,2628
full,time_shuffle,squat,0.9090909090909091,0.547945205479452,0.6837606837606838,2628
full,time_shuffle,stand,0.9992150706436421,0.9687975646879756,0.9837712519319938,2628
full,time_shuffle,walk,0.9545454545454546,0.9748858447488584,0.9646084337349398,2628
