
=== loso_test_p1_val_p2 | stats_svm ===
train=[3, 4, 5, 6, 7], val=[2], test=[1]

=== loso_test_p1_val_p2 | stats_rf ===
train=[3, 4, 5, 6, 7], val=[2], test=[1]

=== loso_test_p1_val_p2 | stats_knn ===
train=[3, 4, 5, 6, 7], val=[2], test=[1]

=== loso_test_p1_val_p2 | pointnet_gru ===
train=[3, 4, 5, 6, 7], val=[2], test=[1]
[loso_test_p1_val_p2] pointnet_gru epoch 001/30 | train_loss=0.1757 | train_acc=0.9869 | val_f1=0.6842
[loso_test_p1_val_p2] pointnet_gru epoch 002/30 | train_loss=0.1386 | train_acc=0.9980 | val_f1=0.6100
[loso_test_p1_val_p2] pointnet_gru epoch 003/30 | train_loss=0.1360 | train_acc=0.9988 | val_f1=0.6756
[loso_test_p1_val_p2] pointnet_gru epoch 004/30 | train_loss=0.1343 | train_acc=0.9992 | val_f1=0.5858
[loso_test_p1_val_p2] pointnet_gru epoch 005/30 | train_loss=0.1340 | train_acc=0.9993 | val_f1=0.7387
[loso_test_p1_val_p2] pointnet_gru epoch 006/30 | train_loss=0.1336 | train_acc=0.9993 | val_f1=0.6099
[loso_test_p1_val_p2] pointnet_gru epoch 007/30 | train_loss=0.1326 | train_acc=0.9996 | val_f1=0.6869
[loso_test_p1_val_p2] pointnet_gru epoch 008/30 | train_loss=0.1326 | train_acc=0.9996 | val_f1=0.6881
[loso_test_p1_val_p2] pointnet_gru epoch 009/30 | train_loss=0.1323 | train_acc=0.9997 | val_f1=0.6352
[loso_test_p1_val_p2] pointnet_gru epoch 010/30 | train_loss=0.1316 | train_acc=0.9999 | val_f1=0.7043
[loso_test_p1_val_p2] pointnet_gru epoch 011/30 | train_loss=0.1329 | train_acc=0.9995 | val_f1=0.6464
[loso_test_p1_val_p2] pointnet_gru epoch 012/30 | train_loss=0.1317 | train_acc=0.9998 | val_f1=0.6498
[loso_test_p1_val_p2] pointnet_gru epoch 013/30 | train_loss=0.1322 | train_acc=0.9997 | val_f1=0.6547
[loso_test_p1_val_p2] pointnet_gru epoch 014/30 | train_loss=0.1314 | train_acc=0.9999 | val_f1=0.6765
[loso_test_p1_val_p2] pointnet_gru epoch 015/30 | train_loss=0.1316 | train_acc=0.9999 | val_f1=0.6966
[loso_test_p1_val_p2] pointnet_gru epoch 016/30 | train_loss=0.1313 | train_acc=0.9999 | val_f1=0.7348
[loso_test_p1_val_p2] pointnet_gru epoch 017/30 | train_loss=0.1311 | train_acc=0.9999 | val_f1=0.6718
[loso_test_p1_val_p2] pointnet_gru epoch 018/30 | train_loss=0.1312 | train_acc=0.9999 | val_f1=0.6838
[loso_test_p1_val_p2] pointnet_gru epoch 019/30 | train_loss=0.1310 | train_acc=1.0000 | val_f1=0.5853
[loso_test_p1_val_p2] pointnet_gru epoch 020/30 | train_loss=0.1310 | train_acc=1.0000 | val_f1=0.7278
[loso_test_p1_val_p2] pointnet_gru epoch 021/30 | train_loss=0.1310 | train_acc=1.0000 | val_f1=0.6817
[loso_test_p1_val_p2] pointnet_gru epoch 022/30 | train_loss=0.1310 | train_acc=1.0000 | val_f1=0.6837
[loso_test_p1_val_p2] pointnet_gru epoch 023/30 | train_loss=0.1310 | train_acc=1.0000 | val_f1=0.6077
[loso_test_p1_val_p2] pointnet_gru epoch 024/30 | train_loss=0.1309 | train_acc=1.0000 | val_f1=0.6557
[loso_test_p1_val_p2] pointnet_gru epoch 025/30 | train_loss=0.1309 | train_acc=1.0000 | val_f1=0.6818
[loso_test_p1_val_p2] pointnet_gru epoch 026/30 | train_loss=0.1309 | train_acc=1.0000 | val_f1=0.6716
[loso_test_p1_val_p2] pointnet_gru epoch 027/30 | train_loss=0.1309 | train_acc=1.0000 | val_f1=0.7051
[loso_test_p1_val_p2] pointnet_gru epoch 028/30 | train_loss=0.1309 | train_acc=1.0000 | val_f1=0.6679
[loso_test_p1_val_p2] pointnet_gru epoch 029/30 | train_loss=0.1309 | train_acc=1.0000 | val_f1=0.6836
[loso_test_p1_val_p2] pointnet_gru epoch 030/30 | train_loss=0.1309 | train_acc=1.0000 | val_f1=0.6701

=== loso_test_p1_val_p2 | pointnet_tcn ===
train=[3, 4, 5, 6, 7], val=[2], test=[1]
[loso_test_p1_val_p2] pointnet_tcn epoch 001/30 | train_loss=0.1642 | train_acc=0.9921 | val_f1=0.8231
[loso_test_p1_val_p2] pointnet_tcn epoch 002/30 | train_loss=0.1383 | train_acc=0.9988 | val_f1=0.8252
[loso_test_p1_val_p2] pointnet_tcn epoch 003/30 | train_loss=0.1369 | train_acc=0.9990 | val_f1=0.7760
[loso_test_p1_val_p2] pointnet_tcn epoch 004/30 | train_loss=0.1354 | train_acc=0.9994 | val_f1=0.7821
[loso_test_p1_val_p2] pointnet_tcn epoch 005/30 | train_loss=0.1352 | train_acc=0.9995 | val_f1=0.9118
[loso_test_p1_val_p2] pointnet_tcn epoch 006/30 | train_loss=0.1344 | train_acc=0.9996 | val_f1=0.8457
[loso_test_p1_val_p2] pointnet_tcn epoch 007/30 | train_loss=0.1343 | train_acc=0.9996 | val_f1=0.8573
[loso_test_p1_val_p2] pointnet_tcn epoch 008/30 | train_loss=0.1340 | train_acc=0.9997 | val_f1=0.7297
[loso_test_p1_val_p2] pointnet_tcn epoch 009/30 | train_loss=0.1338 | train_acc=0.9997 | val_f1=0.9378
[loso_test_p1_val_p2] pointnet_tcn epoch 010/30 | train_loss=0.1335 | train_acc=0.9998 | val_f1=0.8135
